event_id,lat,lon,timestamp,case_count,region,country,year,month
142,13.82,103.05,2009-11-01,26,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2009,11
143,13.82,103.05,2009-12-01,9,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2009,12
144,13.82,103.05,2010-01-01,18,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2010,1
145,13.82,103.05,2010-02-01,8,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2010,2
146,13.82,103.05,2010-03-01,21,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2010,3
147,13.82,103.05,2010-04-01,12,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2010,4
148,13.82,103.05,2010-05-01,58,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2010,5
149,13.82,103.05,2010-06-01,157,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2010,6
150,13.82,103.05,2010-07-01,431,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2010,7
151,13.82,103.05,2010-08-01,375,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2010,8
152,13.82,103.05,2010-09-01,261,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2010,9
153,13.82,103.05,2010-10-01,74,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2010,10
154,13.82,103.05,2010-11-01,13,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2010,11
155,13.82,103.05,2010-12-01,4,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2010,12
156,13.09,103.2,1998-01-01,13,"CAMBODIA, BATTAMBANG",CAMBODIA,1998,1
157,13.09,103.2,1998-02-01,26,"CAMBODIA, BATTAMBANG",CAMBODIA,1998,2
158,13.09,103.2,1998-03-01,23,"CAMBODIA, BATTAMBANG",CAMBODIA,1998,3
159,13.09,103.2,1998-04-01,33,"CAMBODIA, BATTAMBANG",CAMBODIA,1998,4
160,13.09,103.2,1998-05-01,57,"CAMBODIA, BATTAMBANG",CAMBODIA,1998,5
161,13.09,103.2,1998-06-01,136,"CAMBODIA, BATTAMBANG",CAMBODIA,1998,6
162,13.09,103.2,1998-07-01,84,"CAMBODIA, BATTAMBANG",CAMBODIA,1998,7
163,13.09,103.2,1998-08-01,244,"CAMBODIA, BATTAMBANG",CAMBODIA,1998,8
164,13.09,103.2,1998-09-01,45,"CAMBODIA, BATTAMBANG",CAMBODIA,1998,9
165,13.09,103.2,1998-10-01,20,"CAMBODIA, BATTAMBANG",CAMBODIA,1998,10
166,13.09,103.2,1998-11-01,1,"CAMBODIA, BATTAMBANG",CAMBODIA,1998,11
167,13.09,103.2,1998-12-01,0,"CAMBODIA, BATTAMBANG",CAMBODIA,1998,12
168,13.09,103.2,1999-01-01,4,"CAMBODIA, BATTAMBANG",CAMBODIA,1999,1
169,13.09,103.2,1999-02-01,0,"CAMBODIA, BATTAMBANG",CAMBODIA,1999,2
170,13.09,103.2,1999-03-01,0,"CAMBODIA, BATTAMBANG",CAMBODIA,1999,3
171,13.09,103.2,1999-04-01,0,"CAMBODIA, BATTAMBANG",CAMBODIA,1999,4
172,13.09,103.2,1999-05-01,6,"CAMBODIA, BATTAMBANG",CAMBODIA,1999,5
173,13.09,103.2,1999-06-01,5,"CAMBODIA, BATTAMBANG",CAMBODIA,1999,6
174,13.09,103.2,1999-07-01,12,"CAMBODIA, BATTAMBANG",CAMBODIA,1999,7
175,13.09,103.2,1999-08-01,2,"CAMBODIA, BATTAMBANG",CAMBODIA,1999,8
176,13.09,103.2,1999-09-01,0,"CAMBODIA, BATTAMBANG",CAMBODIA,1999,9
177,13.09,103.2,1999-10-01,0,"CAMBODIA, BATTAMBANG",CAMBODIA,1999,10
178,13.09,103.2,1999-11-01,1,"CAMBODIA, BATTAMBANG",CAMBODIA,1999,11
179,13.09,103.2,1999-12-01,0,"CAMBODIA, BATTAMBANG",CAMBODIA,1999,12
180,13.09,103.2,2000-01-01,0,"CAMBODIA, BATTAMBANG",CAMBODIA,2000,1
181,13.09,103.2,2000-02-01,0,"CAMBODIA, BATTAMBANG",CAMBODIA,2000,2
182,13.09,103.2,2000-03-01,1,"CAMBODIA, BATTAMBANG",CAMBODIA,2000,3
183,13.09,103.2,2000-04-01,6,"CAMBODIA, BATTAMBANG",CAMBODIA,2000,4
184,13.09,103.2,2000-05-01,14,"CAMBODIA, BATTAMBANG",CAMBODIA,2000,5
185,13.09,103.2,2000-06-01,26,"CAMBODIA, BATTAMBANG",CAMBODIA,2000,6
186,13.09,103.2,2000-07-01,52,"CAMBODIA, BATTAMBANG",CAMBODIA,2000,7
187,13.09,103.2,2000-08-01,48,"CAMBODIA, BATTAMBANG",CAMBODIA,2000,8
